Place,Code,Country,Admin1,Admin2,Admin3,
156,Santa Cecilia,51765,Mexico,México,Villa Guerrero,
,   18.974/-99.688,,,,,
157,Ejido de San Mateo Coapexco,51765,Mexico,México,Villa Guerrero,
,   18.949/-99.642,,,,,
158,El Islote,51765,Mexico,México,Villa Guerrero,
,   18.968/-99.659,,,,,
159,Jesús Carranza,51765,Mexico,México,Villa Guerrero,
,   18.945/-99.631,,,,,
160,San Felipe,51765,Mexico,México,Villa Guerrero,
,   18.933/-99.654,,,,,
161,Buenavista,51765,Mexico,México,Villa Guerrero,
,   18.946/-99.657,,,,,
162,Progreso Hidalgo,51766,Mexico,México,Villa Guerrero,
,   18.846/-99.614,,,,,
163,La Finca,51767,Mexico,México,Villa Guerrero,
,   18.89/-99.64,,,,,
164,Ejido de la Finca,51767,Mexico,México,Villa Guerrero,
,   18.886/-99.627,,,,,
165,Potrero Nuevo,51767,Mexico,México,Villa Guerrero,
,   18.899/-99.629,,,,,
166,San Diego,51773,Mexico,México,Villa Guerrero,
,   18.974/-99.688,,,,,
167,Cruz Vidriada,51773,Mexico,México,Villa Guerrero,
,   19.002/-99.643,,,,,
168,Santa María,51775,Mexico,México,Villa Guerrero,
,   18.972/-99.653,,,,,
169,La Joya,51775,Mexico,México,Villa Guerrero,
,   18.972/-99.653,,,,,
170,San Lucas,51776,Mexico,México,Villa Guerrero,
,   18.978/-99.661,,,,,
171,San Miguel,51776,Mexico,México,Villa Guerrero,
,   18.991/-99.666,,,,,
172,Zangillas,51777,Mexico,México,Villa Guerrero,
,   19.012/-99.68,,,,,
173,Los Ranchos de San José,51777,Mexico,México,Villa Guerrero,
,   19.012/-99.68,,,,,
174,San José,51777,Mexico,México,Villa Guerrero,
,   18.974/-99.688,,,,,
175,El Moral,51777,Mexico,México,Villa Guerrero,
,   19.014/-99.668,,,,,
176,San Bartolomé,51777,Mexico,México,Villa Guerrero,
,   19.009/-99.679,,,,,
177,Cuajimalpa,51777,Mexico,México,Villa Guerrero,
,   19.013/-99.693,,,,,
178,Matlazinca,51780,Mexico,México,Villa Guerrero,
,   18.938/-99.708,,,,,
179,Venturero de Zacango,51783,Mexico,México,Villa Guerrero,
,   18.96/-99.683,,,,,
180,San Mateo Coapexco,51783,Mexico,México,Villa Guerrero,
,   18.962/-99.683,,,,,
181,Santiago Oxtotitlán,51783,Mexico,México,Villa Guerrero,
,   18.961/-99.668,,,,,
182,Zacango,51783,Mexico,México,Villa Guerrero,
,   18.956/-99.698,,,,,
183,El Izote,51784,Mexico,México,Villa Guerrero,
,   18.918/-99.704,,,,,
184,San Pedro Buenos Aires,51784,Mexico,México,Villa Guerrero,
,   18.927/-99.71,,,,,
185,El Carmen,51784,Mexico,México,Villa Guerrero,
,   18.914/-99.718,,,,,
186,Totolmajac,51784,Mexico,México,Villa Guerrero,
,   18.927/-99.686,,,,,
